Months,Value,Measure,Test,Test2,Units,Geography,Test3
Jul-94,24.06,Price ppl,Months,Months1,price,K02000001,£
Aug-94,24.27,Price ppl,Months,Months1,price,K02000001,£
Sep-94,24.22,Price ppl,Months,Months1,price,K03000001,£
Oct-94,23.39,Price ppl,Months,Months1,price,K03000001,£
Nov-94 (2),24.34,Price ppl,Months,Months1,price,K02000001,£
Dec-94 (2),24.09,Price ppl,Months,Months1,price,K02000001,£
Nov-94 (2),"1,102",Volume (million litres),Months,Months1,volume,K02000001,%
Dec-94 (2),"1,131",Volume (million litres),Months,Months1,volume,K02000001,%
Jul-94,3.96,Butterfat (%),Months,Months1,butterfat,K02000001,%
Aug-94,4.01,Butterfat (%),Months,Months1,butterfat,K02000001,%
Sep-94,4.19,Butterfat (%),Months,Months1,butterfat,K03000001,%
Oct-94,4.23,Butterfat (%),Months,Months1,butterfat,K03000001,%
Nov-94 (2),4.15,Butterfat (%),Months,Months1,butterfat,K02000001,%
Dec-94 (2),4.12,Butterfat (%),Months,Months1,butterfat,K02000001,%
Nov-94 (2),3.26,Protein (%),Months,Months1,protein,K02000001,%
Dec-94 (2),3.21,Protein (%),Months,Months1,protein,K02000001,%
